
"Source: Whip Media CVMi. Boyhood,The Tree of Life,Poor Things,The End of the Tour,The Brutalist. Balanced sample."

Audience User Gender,Audience User Age Bucket,Content Details Title,Performance Viewer Count
male,18-24,Poor Things,"15,851"
female,18-24,Poor Things,"15,405"
female,30-34,Poor Things,"10,908"
female,25-29,Poor Things,"10,895"
female,35-39,Poor Things,"10,378"
male,25-29,Poor Things,"10,350"
female,40-44,Poor Things,"9,654"
male,30-34,Poor Things,"9,649"
male,35-39,Poor Things,"9,265"
female,45-49,Poor Things,"9,139"
male,45-49,Poor Things,"8,827"
male,40-44,Poor Things,"8,743"
female,50-54,Poor Things,"7,825"
male,50-54,Poor Things,"7,532"
male,18-24,The Brutalist,"3,073"
female,30-34,Boyhood,"2,776"
male,18-24,Boyhood,"2,599"
female,18-24,Boyhood,"2,505"
female,35-39,Boyhood,"2,493"
female,40-44,Boyhood,"2,458"
female,25-29,Boyhood,"2,427"
male,30-34,Boyhood,"2,406"
male,35-39,Boyhood,"2,215"
male,25-29,Boyhood,"2,203"
male,50-54,The Brutalist,"2,196"
male,45-49,The Brutalist,"2,091"
female,45-49,Boyhood,"2,030"
male,40-44,Boyhood,"2,019"
male,40-44,The Brutalist,"1,985"
male,35-39,The Brutalist,"1,871"
male,25-29,The Brutalist,"1,854"
male,45-49,Boyhood,"1,822"
male,30-34,The Brutalist,"1,725"
female,50-54,Boyhood,"1,700"
female,50-54,The Brutalist,"1,649"
male,50-54,Boyhood,"1,534"
female,40-44,The Tree of Life,"1,528"
female,40-44,The Brutalist,"1,473"
male,45-49,The Tree of Life,"1,420"
male,40-44,The Tree of Life,"1,367"
female,35-39,The Tree of Life,"1,350"
female,45-49,The Brutalist,"1,338"
female,18-24,The Brutalist,"1,306"
female,45-49,The Tree of Life,"1,305"
male,35-39,The Tree of Life,"1,267"
female,35-39,The Brutalist,"1,225"
female,30-34,The Brutalist,"1,194"
male,50-54,The Tree of Life,"1,122"
female,50-54,The Tree of Life,"1,073"
male,30-34,The Tree of Life,"1,058"
male,18-24,The Tree of Life,"1,029"
female,30-34,The Tree of Life,"1,028"
female,25-29,The Brutalist,968
male,25-29,The Tree of Life,824
female,25-29,The Tree of Life,664
female,18-24,The Tree of Life,614
male,40-44,The End of the Tour,92
male,30-34,The End of the Tour,85
male,18-24,The End of the Tour,72
male,25-29,The End of the Tour,68
male,35-39,The End of the Tour,63
male,45-49,The End of the Tour,62
female,40-44,The End of the Tour,60
female,35-39,The End of the Tour,52
female,50-54,The End of the Tour,49
female,30-34,The End of the Tour,48
male,50-54,The End of the Tour,42
female,18-24,The End of the Tour,36
female,45-49,The End of the Tour,31
female,25-29,The End of the Tour,31
