
"Source: Whip Media CVMi. Stopmotion,Flow (2025),The Lord of the Rings: The War of the Rohirrim,Solo Leveling: ReAwakening,Mobile Suit Gundam SEED Freedom,The Boy and the Heron,Suzume,THE FIRST SLAM DUNK,Predator: Killer of Killers. Balanced sample."

Content Details Title,Audience User Gender,Audience User Age Bucket,Performance Viewer Count
Suzume,male,18-24,"12,532"
The Boy and the Heron,male,18-24,"11,739"
Suzume,female,18-24,"10,922"
The Boy and the Heron,female,18-24,"9,660"
The Boy and the Heron,male,25-29,"6,386"
Flow,male,18-24,"6,296"
Suzume,male,25-29,"6,265"
Suzume,female,25-29,"5,771"
The Boy and the Heron,female,25-29,"5,434"
The Boy and the Heron,male,30-34,"5,176"
Flow,female,18-24,"4,844"
Suzume,male,30-34,"4,747"
Suzume,female,30-34,"4,380"
The Boy and the Heron,female,30-34,"4,282"
The Boy and the Heron,male,35-39,"4,204"
Flow,male,25-29,"3,807"
Suzume,male,35-39,"3,765"
Predator: Killer of Killers,male,45-49,"3,739"
The Boy and the Heron,male,45-49,"3,600"
Flow,male,30-34,"3,565"
The Boy and the Heron,female,35-39,"3,494"
Suzume,female,35-39,"3,483"
The Boy and the Heron,male,40-44,"3,436"
Flow,male,45-49,"3,433"
Flow,male,35-39,"3,431"
Suzume,female,50-54,"3,419"
Flow,male,40-44,"3,400"
Predator: Killer of Killers,male,40-44,"3,340"
Flow,female,25-29,"3,141"
Predator: Killer of Killers,male,50-54,"3,119"
Flow,female,30-34,"3,071"
Suzume,male,40-44,"3,053"
Flow,male,50-54,"3,037"
Flow,female,35-39,"3,026"
Suzume,female,40-44,"2,988"
The Boy and the Heron,female,45-49,"2,937"
Suzume,female,45-49,"2,915"
Suzume,male,45-49,"2,914"
The Boy and the Heron,female,50-54,"2,901"
The Lord of the Rings: The War of the Rohirrim,male,40-44,"2,895"
Flow,female,40-44,"2,866"
The Lord of the Rings: The War of the Rohirrim,male,45-49,"2,860"
The Boy and the Heron,male,50-54,"2,795"
The Boy and the Heron,female,40-44,"2,792"
Flow,female,45-49,"2,764"
The Lord of the Rings: The War of the Rohirrim,male,35-39,"2,764"
The Lord of the Rings: The War of the Rohirrim,male,30-34,"2,681"
Predator: Killer of Killers,male,35-39,"2,537"
Suzume,male,50-54,"2,491"
Flow,female,50-54,"2,334"
The Lord of the Rings: The War of the Rohirrim,male,50-54,"2,302"
The Lord of the Rings: The War of the Rohirrim,male,18-24,"2,167"
Predator: Killer of Killers,male,18-24,"1,990"
Predator: Killer of Killers,male,30-34,"1,935"
The Lord of the Rings: The War of the Rohirrim,male,25-29,"1,893"
Predator: Killer of Killers,male,25-29,"1,498"
THE FIRST SLAM DUNK,male,18-24,"1,381"
THE FIRST SLAM DUNK,male,40-44,"1,258"
THE FIRST SLAM DUNK,male,35-39,"1,185"
Solo Leveling: ReAwakening,male,18-24,"1,177"
THE FIRST SLAM DUNK,male,45-49,974
The Lord of the Rings: The War of the Rohirrim,female,35-39,907
THE FIRST SLAM DUNK,male,30-34,872
THE FIRST SLAM DUNK,male,25-29,867
The Lord of the Rings: The War of the Rohirrim,female,30-34,852
The Lord of the Rings: The War of the Rohirrim,female,40-44,828
The Lord of the Rings: The War of the Rohirrim,female,45-49,780
The Lord of the Rings: The War of the Rohirrim,female,50-54,758
Solo Leveling: ReAwakening,male,30-34,701
Solo Leveling: ReAwakening,male,25-29,692
The Lord of the Rings: The War of the Rohirrim,female,18-24,639
Solo Leveling: ReAwakening,male,35-39,575
The Lord of the Rings: The War of the Rohirrim,female,25-29,574
THE FIRST SLAM DUNK,male,50-54,524
Predator: Killer of Killers,female,45-49,512
Solo Leveling: ReAwakening,male,40-44,463
Predator: Killer of Killers,female,40-44,436
Solo Leveling: ReAwakening,male,45-49,349
Predator: Killer of Killers,female,35-39,336
THE FIRST SLAM DUNK,female,35-39,319
THE FIRST SLAM DUNK,female,18-24,278
Predator: Killer of Killers,female,50-54,278
Predator: Killer of Killers,female,30-34,269
Solo Leveling: ReAwakening,male,50-54,254
THE FIRST SLAM DUNK,female,45-49,253
Solo Leveling: ReAwakening,female,18-24,250
THE FIRST SLAM DUNK,female,40-44,246
Stopmotion,male,45-49,234
THE FIRST SLAM DUNK,female,30-34,217
Predator: Killer of Killers,female,18-24,206
THE FIRST SLAM DUNK,female,25-29,195
Stopmotion,male,40-44,191
Solo Leveling: ReAwakening,female,30-34,175
Predator: Killer of Killers,female,25-29,174
Solo Leveling: ReAwakening,female,25-29,169
Stopmotion,male,18-24,156
THE FIRST SLAM DUNK,female,50-54,153
Solo Leveling: ReAwakening,female,35-39,140
Stopmotion,male,35-39,134
Stopmotion,female,45-49,129
Stopmotion,female,30-34,125
Stopmotion,male,30-34,124
Stopmotion,female,35-39,118
Solo Leveling: ReAwakening,female,45-49,110
Stopmotion,male,25-29,108
Stopmotion,female,18-24,103
Solo Leveling: ReAwakening,female,40-44,102
Solo Leveling: ReAwakening,female,50-54,99
Stopmotion,female,40-44,96
Stopmotion,female,25-29,92
Stopmotion,female,50-54,92
Stopmotion,male,50-54,90
Mobile Suit Gundam SEED Freedom,male,45-49,75
Mobile Suit Gundam SEED Freedom,male,35-39,69
Mobile Suit Gundam SEED Freedom,male,40-44,61
Mobile Suit Gundam SEED Freedom,male,50-54,37
Mobile Suit Gundam SEED Freedom,male,30-34,36
Mobile Suit Gundam SEED Freedom,male,18-24,29
Mobile Suit Gundam SEED Freedom,male,25-29,23
Mobile Suit Gundam SEED Freedom,female,35-39,11
Mobile Suit Gundam SEED Freedom,female,30-34,7
Mobile Suit Gundam SEED Freedom,female,45-49,6
Mobile Suit Gundam SEED Freedom,female,25-29,4
Mobile Suit Gundam SEED Freedom,female,18-24,2
