Title,"PostTrak
Film
Type","Release
Date",Genre,Rating,Dist,"Opening
Wknd
Gross","Opening
Day
Gross",Cume,"Locs
at
Opening","Locs
at
Widest
Release","Polling
Wk",Index,"Definitely
Recommend","Total
Polled","General
Total
;
How
would
you
rate
the
film?
1
-
Excellent"
Deadpool & Wolverine,General,7/26/2024,ACT,R,DIS,211435291,96189710,211435291,4210,4210,1,90,79%,800,69%
Twisters,Hybrid,7/19/2024,ACT,PG13,UNI,81251415,32139880,154622570,4151,4170,1,85,65%,1314,54%
Longlegs,General,7/12/2024,HOR,R,NEON,22400119,10012897,59716424,2510,2850,1,72,47%,875,37%
Fly Me to the Moon,General,7/12/2024,COM,PG13,SNY,9402176,4476129,19128337,3356,3356,1,85,68%,843,56%
MaXXXine,General,7/5/2024,HOR,R,A24,6705038,3185000,14666489,2450,2450,1,75,55%,817,40%
Sound of Hope: The Story of Possum Trot,General,7/4/2024,DRA,PG13,ANGEL,3078758,3591283,11483161,2200,2200,1,94,87%,435,81%
Despicable Me 4,Family,7/3/2024,ANI,PG,UNI,75009210,27202050,291361930,4030,4449,1,83,63%,1235,53%
Horizon: An American Saga Chapter 1,General,6/28/2024,WES,R,WB,11052561,4091577,28944840,3334,3334,1,75,50%,817,42%
"Quiet Place: Day One, A",General,6/28/2024,HOR,PG13,PAR,52202495,22528071,134313567,3708,3708,1,80,59%,807,48%
"Bikeriders, The",General,6/21/2024,DRA,R,FOC,9698275,4109865,21669915,2642,2692,1,75,49%,805,38%
"Exorcism, The",General,6/21/2024,HOR,R,EMICK,2457041,944916,4530418,2240,2240,1,51,23%,382,15%
Inside Out 2,Hybrid,6/14/2024,ANI,PG,DIS,154201673,63558115,613724182,4440,4440,1,86,70%,1206,57%
Bad Boys: Ride or Die,General,6/7/2024,ACT,R,SNY,56527324,21501365,191800582,3885,3885,1,90,84%,829,71%
"Watchers, The",General,6/7/2024,HOR,PG13,WB,7003537,2903381,19071404,3351,3351,1,64,35%,811,25%
