
"Source: Whip Media CVMi.  Movies only. Lionsgate, Universal Pictures, Warner Bros. Pictures, 20th Century Studios, Netflix, Columbia Pictures, Paramount Pictures, New Line Cinema, A24, MGM, Focus Features, Sony Pictures Classics, Screen Gems, Amazon MGM Studios, STX Entertainment, United Artists Pictures, Relativity Media, Searchlight Pictures, Neon, Metro-Goldwyn-Mayer, IFC Films, Annapurna Pictures, Roadside Attractions, IFC, Hulu, Warner Bros., HBO Films titles only. United States originated titles only. First released between 2023/01/01 and 2025/10/05 Yes sample."

Audience User Age Bucket,Audience User Gender,Content Details Title,Performance Viewer Count
18-24,female,Barbie,"98,623"
18-24,male,Oppenheimer,"66,260"
18-24,male,Barbie,"64,422"
18-24,male,The Super Mario Bros. Movie,"57,888"
25-29,female,Barbie,"49,312"
45-49,female,Barbie,"42,884"
50-54,female,Barbie,"41,762"
40-44,female,Barbie,"41,080"
30-34,female,Barbie,"40,421"
35-39,female,Barbie,"40,364"
18-24,female,The Super Mario Bros. Movie,"39,129"
18-24,male,John Wick: Chapter 4,"38,236"
18-24,female,Oppenheimer,"36,451"
18-24,male,Dune: Part Two,"35,983"
18-24,female,The Hunger Games: The Ballad of Songbirds & Snakes,"35,516"
25-29,male,Oppenheimer,"34,028"
18-24,male,Fast X,"33,625"
25-29,male,Barbie,"32,223"
18-24,female,Wonka,"29,792"
18-24,male,The Hunger Games: The Ballad of Songbirds & Snakes,"28,825"
25-29,male,The Super Mario Bros. Movie,"28,782"
30-34,male,Oppenheimer,"28,336"
35-39,male,Oppenheimer,"27,971"
18-24,female,Saltburn,"27,907"
50-54,male,Oppenheimer,"27,018"
35-39,male,The Super Mario Bros. Movie,"26,669"
45-49,male,Oppenheimer,"26,592"
30-34,male,Barbie,"26,537"
40-44,male,The Super Mario Bros. Movie,"26,449"
40-44,male,Oppenheimer,"25,993"
45-49,male,John Wick: Chapter 4,"25,471"
35-39,male,Barbie,"25,310"
40-44,male,John Wick: Chapter 4,"25,057"
30-34,male,The Super Mario Bros. Movie,"24,731"
35-39,male,John Wick: Chapter 4,"24,531"
18-24,male,Wonka,"24,493"
50-54,male,John Wick: Chapter 4,"24,179"
40-44,male,Barbie,"24,068"
45-49,male,Barbie,"23,884"
50-54,male,Barbie,"23,601"
18-24,male,The Flash,"23,272"
