
"Source: Whip Media CVMi. Everybody Wants Some!!,Boyhood,Hit Man (2024),Little Women (2019),Killers of the Flower Moon,A Complete Unknown,Poor Things,The Brutalist. Balanced sample."

Content Details Title,Audience User Gender,Audience User Age Bucket,Performance Viewer Count
Little Women,female,18-24,"65,271"
Little Women,female,50-54,"32,302"
Little Women,female,25-29,"32,298"
Little Women,female,45-49,"31,207"
Little Women,female,35-39,"27,348"
Little Women,female,40-44,"27,153"
Little Women,female,30-34,"26,751"
Little Women,male,18-24,"17,411"
Poor Things,male,18-24,"15,840"
Poor Things,female,18-24,"15,392"
Killers of the Flower Moon,male,18-24,"12,006"
Poor Things,female,30-34,"10,901"
Poor Things,female,25-29,"10,887"
Poor Things,female,35-39,"10,363"
Poor Things,male,25-29,"10,339"
Poor Things,male,30-34,"9,642"
Poor Things,female,40-44,"9,642"
Little Women,male,50-54,"9,593"
Poor Things,male,35-39,"9,256"
Poor Things,female,45-49,"9,119"
Little Women,male,25-29,"8,962"
Poor Things,male,45-49,"8,820"
Killers of the Flower Moon,male,50-54,"8,773"
Poor Things,male,40-44,"8,737"
Little Women,male,45-49,"8,450"
Killers of the Flower Moon,male,45-49,"8,138"
Killers of the Flower Moon,male,40-44,"8,043"
Killers of the Flower Moon,male,35-39,"7,964"
Poor Things,female,50-54,"7,818"
Little Women,male,35-39,"7,744"
Little Women,male,40-44,"7,625"
Little Women,male,30-34,"7,593"
Poor Things,male,50-54,"7,524"
Killers of the Flower Moon,male,25-29,"7,448"
Killers of the Flower Moon,male,30-34,"7,240"
Killers of the Flower Moon,female,40-44,"5,379"
Killers of the Flower Moon,female,45-49,"5,362"
Killers of the Flower Moon,female,50-54,"5,218"
Hit Man,male,18-24,"4,954"
Killers of the Flower Moon,female,35-39,"4,825"
Hit Man,male,50-54,"4,464"
Killers of the Flower Moon,female,30-34,"4,368"
Hit Man,male,45-49,"4,184"
Killers of the Flower Moon,female,18-24,"4,159"
Hit Man,male,35-39,"3,887"
Hit Man,male,40-44,"3,868"
Hit Man,male,30-34,"3,591"
Killers of the Flower Moon,female,25-29,"3,496"
Hit Man,male,25-29,"3,449"
Hit Man,female,18-24,"3,378"
Hit Man,female,45-49,"3,110"
The Brutalist,male,18-24,"3,070"
Hit Man,female,50-54,"2,969"
Hit Man,female,35-39,"2,911"
Hit Man,female,40-44,"2,854"
Hit Man,female,30-34,"2,832"
A Complete Unknown,male,18-24,"2,798"
Boyhood,female,30-34,"2,773"
Hit Man,female,25-29,"2,690"
A Complete Unknown,male,50-54,"2,606"
Boyhood,male,18-24,"2,598"
A Complete Unknown,male,45-49,"2,519"
Boyhood,female,18-24,"2,499"
Boyhood,female,35-39,"2,487"
Boyhood,female,40-44,"2,454"
A Complete Unknown,female,18-24,"2,454"
Boyhood,female,25-29,"2,426"
Boyhood,male,30-34,"2,405"
A Complete Unknown,female,45-49,"2,306"
A Complete Unknown,female,50-54,"2,244"
Boyhood,male,35-39,"2,212"
Boyhood,male,25-29,"2,201"
The Brutalist,male,50-54,"2,195"
A Complete Unknown,female,40-44,"2,110"
The Brutalist,male,45-49,"2,091"
Boyhood,female,45-49,"2,019"
Boyhood,male,40-44,"2,015"
A Complete Unknown,male,40-44,"2,014"
The Brutalist,male,40-44,"1,978"
A Complete Unknown,female,35-39,"1,896"
The Brutalist,male,35-39,"1,869"
The Brutalist,male,25-29,"1,853"
Boyhood,male,45-49,"1,823"
A Complete Unknown,male,35-39,"1,782"
The Brutalist,male,30-34,"1,722"
A Complete Unknown,male,30-34,"1,718"
A Complete Unknown,male,25-29,"1,710"
Boyhood,female,50-54,"1,694"
A Complete Unknown,female,30-34,"1,657"
The Brutalist,female,50-54,"1,652"
A Complete Unknown,female,25-29,"1,567"
Boyhood,male,50-54,"1,534"
The Brutalist,female,40-44,"1,472"
The Brutalist,female,45-49,"1,339"
The Brutalist,female,18-24,"1,306"
The Brutalist,female,35-39,"1,223"
The Brutalist,female,30-34,"1,193"
The Brutalist,female,25-29,966
Everybody Wants Some!!,male,18-24,375
Everybody Wants Some!!,female,18-24,317
Everybody Wants Some!!,male,25-29,278
Everybody Wants Some!!,male,40-44,268
Everybody Wants Some!!,female,25-29,240
Everybody Wants Some!!,male,30-34,235
Everybody Wants Some!!,male,35-39,233
Everybody Wants Some!!,male,45-49,214
Everybody Wants Some!!,female,40-44,197
Everybody Wants Some!!,male,50-54,183
Everybody Wants Some!!,female,30-34,182
Everybody Wants Some!!,female,35-39,175
Everybody Wants Some!!,female,50-54,165
Everybody Wants Some!!,female,45-49,165
Killers of the Flower Moon,,25-29,0
Killers of the Flower Moon,,35-39,0
Poor Things,,18-24,0
The Brutalist,,35-39,0
Little Women,,50-54,0
Boyhood,,40-44,0
Hit Man,male,,0
A Complete Unknown,,35-39,0
Little Women,,,0
Hit Man,,25-29,0
Hit Man,male,16-17,0
Hit Man,,30-34,0
The Brutalist,,25-29,0
Killers of the Flower Moon,male,16-17,0
Everybody Wants Some!!,,25-29,0
Little Women,,40-44,0
Killers of the Flower Moon,,50-54,0
Little Women,male,,0
Poor Things,,35-39,0
Little Women,,25-29,0
Poor Things,,40-44,0
Killers of the Flower Moon,male,,0
Little Women,male,16-17,0
Everybody Wants Some!!,,,0
The Brutalist,,18-24,0
A Complete Unknown,,,0
Poor Things,,,0
Hit Man,,18-24,0
Poor Things,,25-29,0
Hit Man,female,,0
Hit Man,female,16-17,0
The Brutalist,,30-34,0
A Complete Unknown,,30-34,0
Hit Man,,,0
Boyhood,,30-34,0
Little Women,,30-34,0
Killers of the Flower Moon,,18-24,0
Poor Things,female,16-17,0
Killers of the Flower Moon,,45-49,0
Poor Things,,45-49,0
Hit Man,,35-39,0
Killers of the Flower Moon,female,16-17,0
Boyhood,,18-24,0
Killers of the Flower Moon,,,0
A Complete Unknown,female,16-17,0
Boyhood,,25-29,0
Boyhood,,35-39,0
A Complete Unknown,,25-29,0
Little Women,female,16-17,0
Poor Things,,30-34,0
A Complete Unknown,,18-24,0
Poor Things,male,,0
Poor Things,,50-54,0
Little Women,female,,0
Little Women,female,55+,0
Killers of the Flower Moon,,30-34,0
Little Women,,18-24,0
Poor Things,female,,0
Everybody Wants Some!!,,18-24,0
Killers of the Flower Moon,female,,0
Little Women,,35-39,0
The Brutalist,,40-44,0
The Brutalist,,,0
