
"Source: Whip Media CVMi. Movies only. Neon, A24 titles only. United States originated titles only. Balanced sample."

Content Details Title,Audience User Gender,Audience User Age Bucket,Performance Viewer Count
Lady Bird,female,18-24,"34,258"
Midsommar,female,18-24,"32,723"
Everything Everywhere All at Once,male,18-24,"32,062"
Midsommar,male,18-24,"30,128"
Hereditary,male,18-24,"22,397"
Everything Everywhere All at Once,female,18-24,"21,882"
Everything Everywhere All at Once,male,25-29,"20,329"
Hereditary,female,18-24,"19,792"
Everything Everywhere All at Once,male,30-34,"18,897"
Midsommar,female,25-29,"18,759"
Everything Everywhere All at Once,male,35-39,"18,485"
Midsommar,male,25-29,"17,691"
Lady Bird,female,25-29,"17,135"
Everything Everywhere All at Once,male,40-44,"16,926"
Everything Everywhere All at Once,male,45-49,"16,540"
"I, Tonya",female,18-24,"15,220"
Uncut Gems,male,18-24,"15,062"
The Whale,male,18-24,"15,030"
Everything Everywhere All at Once,female,25-29,"14,776"
Midsommar,female,30-34,"14,535"
Midsommar,male,30-34,"14,411"
Everything Everywhere All at Once,male,50-54,"14,251"
Hereditary,male,25-29,"13,748"
X,male,18-24,"13,696"
Everything Everywhere All at Once,female,30-34,"13,686"
Pearl,female,18-24,"13,328"
Midsommar,male,35-39,"13,014"
Hereditary,female,25-29,"12,986"
Midsommar,female,35-39,"12,858"
Lady Bird,female,30-34,"12,825"
Everything Everywhere All at Once,female,35-39,"12,733"
Lady Bird,male,18-24,"12,670"
Midsommar,female,45-49,"11,932"
Uncut Gems,male,25-29,"11,807"
Uncut Gems,male,35-39,"11,765"
Uncut Gems,male,30-34,"11,610"
Midsommar,male,45-49,"11,603"
Midsommar,male,40-44,"11,591"
Pearl,male,18-24,"11,471"
Lady Bird,female,35-39,"11,411"
Everything Everywhere All at Once,female,40-44,"11,223"
Hereditary,male,30-34,"11,202"
The Lighthouse,male,18-24,"11,107"
Midsommar,female,40-44,"11,076"
X,female,18-24,"11,049"
Midsommar,female,50-54,"10,958"
Uncut Gems,male,40-44,"10,939"
Hereditary,female,30-34,"10,778"
Everything Everywhere All at Once,female,45-49,"10,468"
The Whale,female,18-24,"10,413"
Lady Bird,female,45-49,"10,403"
Lady Bird,female,50-54,"10,335"
The Whale,male,35-39,"10,083"
Midsommar,male,50-54,"9,952"
Lady Bird,female,40-44,"9,812"
The Whale,male,40-44,"9,743"
Hereditary,female,35-39,"9,728"
Uncut Gems,male,45-49,"9,690"
Hereditary,male,35-39,"9,635"
The Whale,male,30-34,"9,553"
The Whale,male,25-29,"9,515"
The Whale,male,45-49,"9,447"
"I, Tonya",female,45-49,"9,350"
"I, Tonya",female,25-29,"9,297"
Everything Everywhere All at Once,female,50-54,"9,051"
The Whale,female,35-39,"8,978"
Hereditary,female,45-49,"8,915"
Hereditary,male,40-44,"8,888"
The Whale,female,40-44,"8,864"
"I, Tonya",female,35-39,"8,795"
The Whale,female,45-49,"8,728"
"I, Tonya",female,40-44,"8,728"
Hereditary,female,40-44,"8,694"
Hereditary,male,45-49,"8,639"
The Whale,female,50-54,"8,636"
"I, Tonya",female,30-34,"8,592"
Bodies Bodies Bodies,female,18-24,"8,410"
The Whale,female,30-34,"8,242"
"I, Tonya",female,50-54,"8,192"
Moonlight,male,18-24,"7,893"
Uncut Gems,male,50-54,"7,873"
The Whale,male,50-54,"7,741"
Past Lives,female,18-24,"7,693"
The Whale,female,25-29,"7,577"
Hereditary,female,50-54,"7,453"
X,male,25-29,"7,343"
Materialists,female,18-24,"7,314"
Lady Bird,male,25-29,"7,121"
Bodies Bodies Bodies,male,18-24,"7,070"
The Lighthouse,male,25-29,"6,876"
"I, Tonya",male,18-24,"6,827"
Hereditary,male,50-54,"6,510"
X,male,45-49,"6,406"
Moonlight,female,18-24,"6,388"
Pearl,female,25-29,"6,381"
Past Lives,male,18-24,"6,196"
X,male,30-34,"6,191"
Spring Breakers,female,25-29,"6,105"
Heretic,male,18-24,"6,088"
X,male,35-39,"6,064"
X,female,25-29,"5,877"
Lady Bird,male,30-34,"5,846"
Pearl,male,25-29,"5,809"
X,male,40-44,"5,772"
The Lighthouse,male,30-34,"5,752"
Heretic,male,45-49,"5,728"
Heretic,male,40-44,"5,621"
X,male,50-54,"5,462"
Uncut Gems,female,35-39,"5,448"
The Lighthouse,male,35-39,"5,420"
Heretic,male,50-54,"5,406"
The Zone of Interest,male,18-24,"5,374"
Moonlight,male,25-29,"5,289"
Past Lives,female,25-29,"5,269"
Heretic,male,35-39,"5,238"
"I, Tonya",male,45-49,"5,214"
The Lighthouse,male,45-49,"5,203"
Lady Bird,male,35-39,"5,117"
Heretic,female,45-49,"5,042"
Uncut Gems,female,30-34,"4,992"
Past Lives,female,30-34,"4,981"
MaXXXine,male,18-24,"4,973"
Spring Breakers,female,18-24,"4,962"
Uncut Gems,female,40-44,"4,926"
"I, Tonya",male,40-44,"4,895"
The Lighthouse,male,40-44,"4,862"
The Spectacular Now,female,18-24,"4,852"
"I, Tonya",male,35-39,"4,828"
Moonlight,female,25-29,"4,790"
Past Lives,female,35-39,"4,760"
Materialists,female,25-29,"4,737"
Lady Bird,male,45-49,"4,684"
Heretic,female,18-24,"4,673"
Moonlight,male,30-34,"4,672"
Heretic,female,40-44,"4,663"
Heretic,male,30-34,"4,644"
Lady Bird,male,40-44,"4,549"
Spring Breakers,female,30-34,"4,530"
Pearl,male,30-34,"4,513"
Past Lives,female,40-44,"4,509"
"I, Tonya",male,50-54,"4,502"
Moonlight,female,30-34,"4,475"
"I, Tonya",male,30-34,"4,425"
Materialists,female,30-34,"4,393"
X,female,30-34,"4,385"
"I, Tonya",male,25-29,"4,383"
The Lighthouse,male,50-54,"4,355"
Heretic,female,35-39,"4,339"
Pearl,female,30-34,"4,316"
Bodies Bodies Bodies,female,25-29,"4,298"
Uncut Gems,female,25-29,"4,279"
Pearl,male,45-49,"4,268"
Heretic,female,50-54,"4,255"
Pearl,male,35-39,"4,255"
Uncut Gems,female,18-24,"4,214"
Heretic,male,25-29,"4,185"
The Green Knight,male,40-44,"4,156"
Heretic,female,30-34,"4,141"
MaXXXine,female,18-24,"4,132"
The Green Knight,male,35-39,"4,110"
Past Lives,male,25-29,"4,079"
The Monkey,male,18-24,"4,076"
Pearl,male,40-44,"4,037"
Uncut Gems,female,45-49,"4,025"
The Green Knight,male,18-24,"3,895"
X,female,35-39,"3,894"
Moonlight,female,35-39,"3,889"
Moonlight,male,35-39,"3,886"
Lady Bird,male,50-54,"3,853"
The Zone of Interest,male,50-54,"3,852"
Pearl,female,40-44,"3,834"
Materialists,female,35-39,"3,828"
The Green Knight,male,45-49,"3,826"
Past Lives,female,50-54,"3,812"
The Lighthouse,female,18-24,"3,775"
Materialists,male,18-24,"3,761"
Uncut Gems,female,50-54,"3,761"
Pearl,female,50-54,"3,757"
Pearl,female,35-39,"3,753"
Past Lives,female,45-49,"3,724"
Past Lives,male,30-34,"3,714"
Pearl,female,45-49,"3,704"
Bodies Bodies Bodies,male,25-29,"3,699"
The Iron Claw,male,18-24,"3,685"
The Zone of Interest,female,45-49,"3,673"
The Green Knight,male,30-34,"3,654"
The Zone of Interest,female,18-24,"3,651"
Materialists,female,40-44,"3,650"
The Zone of Interest,female,50-54,"3,593"
The Zone of Interest,male,45-49,"3,587"
The Spectacular Now,female,25-29,"3,581"
Heretic,female,25-29,"3,569"
Good Time,male,18-24,"3,557"
X,female,45-49,"3,548"
X,female,40-44,"3,504"
Moonlight,male,40-44,"3,496"
Pearl,male,50-54,"3,468"
The Green Knight,male,50-54,"3,430"
Moonlight,female,40-44,"3,416"
X,female,50-54,"3,408"
Hot Summer Nights,female,18-24,"3,376"
Bring Her Back,male,18-24,"3,299"
The Zone of Interest,male,40-44,"3,295"
Spring Breakers,male,25-29,"3,282"
The Zone of Interest,male,25-29,"3,256"
Spring Breakers,male,30-34,"3,224"
The Zone of Interest,male,35-39,"3,219"
The Zone of Interest,male,30-34,"3,214"
Past Lives,male,35-39,"3,201"
The Lighthouse,female,40-44,"3,191"
MaXXXine,male,45-49,"3,168"
The Lighthouse,female,25-29,"3,134"
Materialists,female,45-49,"3,131"
Waves,female,18-24,"3,119"
Bodies Bodies Bodies,female,30-34,"3,115"
The Lighthouse,female,30-34,"3,107"
The Zone of Interest,female,35-39,"3,106"
The Lighthouse,female,35-39,"3,075"
The Green Knight,male,25-29,"3,070"
Moonlight,male,45-49,"3,065"
The Florida Project,female,18-24,"3,051"
The Zone of Interest,female,40-44,"3,050"
The Lighthouse,female,50-54,"2,988"
The Lighthouse,female,45-49,"2,927"
Past Lives,male,45-49,"2,916"
Mid90s,male,18-24,"2,915"
MaXXXine,male,25-29,"2,908"
Warfare,male,18-24,"2,900"
The Monkey,male,45-49,"2,877"
Past Lives,male,40-44,"2,839"
Moonlight,female,45-49,"2,832"
Mid90s,female,18-24,"2,808"
Bodies Bodies Bodies,male,30-34,"2,803"
Spring Breakers,female,35-39,"2,803"
The Zone of Interest,female,30-34,"2,776"
MaXXXine,male,50-54,"2,769"
Moonlight,female,50-54,"2,732"
MaXXXine,male,40-44,"2,698"
Warfare,male,45-49,"2,670"
MaXXXine,male,30-34,"2,638"
The Iron Claw,male,25-29,"2,635"
MaXXXine,male,35-39,"2,623"
Bodies Bodies Bodies,female,35-39,"2,604"
The Monkey,male,40-44,"2,599"
Warfare,male,50-54,"2,591"
The Iron Claw,male,45-49,"2,582"
Bodies Bodies Bodies,female,45-49,"2,574"
The Monkey,female,18-24,"2,569"
Spring Breakers,male,35-39,"2,558"
Spring Breakers,male,18-24,"2,517"
Materialists,female,50-54,"2,514"
Warfare,male,40-44,"2,508"
The Spectacular Now,female,30-34,"2,502"
The Iron Claw,male,35-39,"2,501"
The Zone of Interest,female,25-29,"2,500"
The Iron Claw,male,40-44,"2,498"
Moonlight,male,50-54,"2,448"
Bodies Bodies Bodies,male,35-39,"2,430"
The Monkey,male,35-39,"2,407"
Materialists,male,25-29,"2,395"
The Iron Claw,male,30-34,"2,394"
Past Lives,male,50-54,"2,369"
MaXXXine,female,25-29,"2,362"
Swiss Army Man,male,18-24,"2,310"
Sharper,male,50-54,"2,302"
Bodies Bodies Bodies,female,40-44,"2,298"
Warfare,male,35-39,"2,290"
The Florida Project,male,18-24,"2,288"
The Monkey,male,25-29,"2,275"
Materialists,male,30-34,"2,248"
The Monkey,male,30-34,"2,238"
Bring Her Back,male,25-29,"2,161"
Bodies Bodies Bodies,male,40-44,"2,150"
Barely Lethal,female,18-24,"2,124"
Bring Her Back,male,30-34,"2,111"
Sharper,male,45-49,"2,103"
Dream Scenario,male,18-24,"2,101"
Bring Her Back,male,35-39,"2,050"
Warfare,male,30-34,"2,040"
The Monkey,male,50-54,"2,027"
Good Time,male,25-29,"2,025"
Bring Her Back,female,18-24,"2,014"
Bodies Bodies Bodies,male,45-49,"2,014"
Spring Breakers,male,40-44,"2,002"
Dream Scenario,male,45-49,"1,995"
Bodies Bodies Bodies,female,50-54,"1,989"
Materialists,male,35-39,"1,984"
Swiss Army Man,male,25-29,"1,979"
Beach Rats,male,18-24,"1,957"
Warfare,male,25-29,"1,955"
The Lodge,female,45-49,"1,950"
Spring Breakers,male,45-49,"1,947"
MaXXXine,female,30-34,"1,944"
Bring Her Back,male,40-44,"1,927"
Sharper,female,45-49,"1,906"
The Iron Claw,male,50-54,"1,885"
Swiss Army Man,male,30-34,"1,877"
MaXXXine,female,35-39,"1,861"
Dream Scenario,male,40-44,"1,839"
Spring Breakers,female,40-44,"1,823"
MaXXXine,female,45-49,"1,812"
Eighth Grade,female,18-24,"1,779"
The Monkey,female,45-49,"1,776"
The Spectacular Now,female,35-39,"1,776"
Dream Scenario,male,35-39,"1,744"
Bring Her Back,male,45-49,"1,728"
The Green Knight,female,40-44,"1,719"
Dream Scenario,male,50-54,"1,709"
Tusk,male,18-24,"1,706"
Sharper,female,40-44,"1,699"
Waves,male,18-24,"1,692"
The Green Knight,female,35-39,"1,684"
MaXXXine,female,40-44,"1,672"
